File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF002HXC	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR668FTZ	WGBS	/human-donors/ENCDO793LXB/	UBERON:0001157	transverse colon	tissue	Homo sapiens											DNA						2018-12-22	ENCODE				1	1_1							/files/ENCFF548GME/, /files/ENCFF792NJK/	709157682	ENCODE Processing Pipeline	5a9a3da2ecec6bc77772bb3700535500		https://www.encodeproject.org/files/ENCFF002HXC/@@download/ENCFF002HXC.bed.gz				released	s3://encode-public/2021/03/03/d599887d-1ec9-4b5f-b9b3-eae57bffc786/ENCFF002HXC.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF516WOZ	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR668FTZ	WGBS	/human-donors/ENCDO793LXB/	UBERON:0001157	transverse colon	tissue	Homo sapiens											DNA						2018-12-22	ENCODE				1	1_1							/files/ENCFF548GME/, /files/ENCFF792NJK/	2108266790	ENCODE Processing Pipeline	9c4cd26e234e7df21baebb20100fa541		https://www.encodeproject.org/files/ENCFF516WOZ/@@download/ENCFF516WOZ.bigWig				released	s3://encode-public/2021/03/03/f9381e9f-e872-434f-affe-2a6b60c199d2/ENCFF516WOZ.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF212XVJ	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR668FTZ	WGBS	/human-donors/ENCDO793LXB/	UBERON:0001157	transverse colon	tissue	Homo sapiens											DNA						2018-12-22	ENCODE				1	1_1							/files/ENCFF002HXC/, /files/ENCFF792NJK/	1269478566	ENCODE Processing Pipeline	24d0599da0aed69f5f92e0c9bedafd3a		https://www.encodeproject.org/files/ENCFF212XVJ/@@download/ENCFF212XVJ.bigBed				released	s3://encode-public/2021/03/03/14d2e039-0356-44b2-a568-1b371c3dd695/ENCFF212XVJ.bigBed	ENCODE4 v1.1.5 GRCh38	released			
ENCFF556VBV	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR996BJT	WGBS	/human-donors/ENCDO845WKR/	UBERON:0001150	body of pancreas	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF892XMJ/, /files/ENCFF792NJK/	693217236	ENCODE Processing Pipeline	df861cfe4491db42ef96ae5aceae378c		https://www.encodeproject.org/files/ENCFF556VBV/@@download/ENCFF556VBV.bed.gz				released	s3://encode-public/2021/03/01/e87b07b7-1d0e-4ea3-933d-c6cb90992f33/ENCFF556VBV.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF594PRL	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR996BJT	WGBS	/human-donors/ENCDO845WKR/	UBERON:0001150	body of pancreas	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF892XMJ/, /files/ENCFF792NJK/	2093559969	ENCODE Processing Pipeline	23c4789a4793a7e390188d9a601cf431		https://www.encodeproject.org/files/ENCFF594PRL/@@download/ENCFF594PRL.bigWig				released	s3://encode-public/2021/03/01/5512d56e-fd40-4ee6-b430-31b891ece7ab/ENCFF594PRL.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF217HSV	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR996BJT	WGBS	/human-donors/ENCDO845WKR/	UBERON:0001150	body of pancreas	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF892XMJ/, /files/ENCFF792NJK/	2062371062	ENCODE Processing Pipeline	8a3c1bd88b0b96ea5c3c1cbba687071e		https://www.encodeproject.org/files/ENCFF217HSV/@@download/ENCFF217HSV.bigWig				released	s3://encode-public/2021/03/01/621fc1e8-9c47-4e6b-8805-0506a41a63bc/ENCFF217HSV.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF603DLV	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR996BJT	WGBS	/human-donors/ENCDO845WKR/	UBERON:0001150	body of pancreas	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF556VBV/	1262689223	ENCODE Processing Pipeline	69d3b44fedb43b554a14f3411d7ace41		https://www.encodeproject.org/files/ENCFF603DLV/@@download/ENCFF603DLV.bigBed				released	s3://encode-public/2021/03/01/0d48799c-5270-40de-9e79-fdc83bc1da58/ENCFF603DLV.bigBed	ENCODE4 v1.1.5 GRCh38	released			
ENCFF956ACC	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR757JTX	WGBS	/human-donors/ENCDO845WKR/	UBERON:0002106	spleen	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF924BQG/	695944034	ENCODE Processing Pipeline	e7f2a431567e97188d790ebb4d2f6f7e		https://www.encodeproject.org/files/ENCFF956ACC/@@download/ENCFF956ACC.bed.gz				released	s3://encode-public/2021/03/19/6b3b3b49-4cd0-42ba-a301-8004b9943180/ENCFF956ACC.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF975KYR	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR757JTX	WGBS	/human-donors/ENCDO845WKR/	UBERON:0002106	spleen	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF924BQG/	2072704038	ENCODE Processing Pipeline	334e124ed258f79c98caf78b027c7098		https://www.encodeproject.org/files/ENCFF975KYR/@@download/ENCFF975KYR.bigWig				released	s3://encode-public/2021/03/19/5e918ebd-9dc3-4d8a-ae1c-5f98a4d04e41/ENCFF975KYR.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF142HUA	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR757JTX	WGBS	/human-donors/ENCDO845WKR/	UBERON:0002106	spleen	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF924BQG/	2086533702	ENCODE Processing Pipeline	cc55e33658e11d21972b82ed50cc8639		https://www.encodeproject.org/files/ENCFF142HUA/@@download/ENCFF142HUA.bigWig				released	s3://encode-public/2021/03/19/24a9da6a-92bb-48aa-a324-6cadefd816e1/ENCFF142HUA.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF384XSJ	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR757JTX	WGBS	/human-donors/ENCDO845WKR/	UBERON:0002106	spleen	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF956ACC/	1253363588	ENCODE Processing Pipeline	d85d18990bc52561e1a6f9f15980dbec		https://www.encodeproject.org/files/ENCFF384XSJ/@@download/ENCFF384XSJ.bigBed				released	s3://encode-public/2021/03/19/be9e334e-d2c9-46de-9a2f-1957d74795f7/ENCFF384XSJ.bigBed	ENCODE4 v1.1.5 GRCh38	released			
ENCFF745IBK	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR011HZJ	WGBS	/human-donors/ENCDO451RUA/	UBERON:0000473	testis	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF385LYF/, /files/ENCFF792NJK/	1959218253	ENCODE Processing Pipeline	4b10e37e3159f415d4dcc8ac10ae1783		https://www.encodeproject.org/files/ENCFF745IBK/@@download/ENCFF745IBK.bigWig				released	s3://encode-public/2021/03/01/e724195b-b6bb-45ba-96fa-b3a4347762f0/ENCFF745IBK.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF925RWN	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR011HZJ	WGBS	/human-donors/ENCDO451RUA/	UBERON:0000473	testis	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF385LYF/, /files/ENCFF792NJK/	1977986431	ENCODE Processing Pipeline	9ceddbf44c0211bdb6c243fff65eafa7		https://www.encodeproject.org/files/ENCFF925RWN/@@download/ENCFF925RWN.bigWig				released	s3://encode-public/2021/03/01/7917e09d-dc57-4c7f-a46f-40d955ed008d/ENCFF925RWN.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF887HIO	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR011HZJ	WGBS	/human-donors/ENCDO451RUA/	UBERON:0000473	testis	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF053FUK/, /files/ENCFF792NJK/	1196154848	ENCODE Processing Pipeline	6468d89e5c92cc28ecaf64d0d6cbdde9		https://www.encodeproject.org/files/ENCFF887HIO/@@download/ENCFF887HIO.bigBed				released	s3://encode-public/2021/03/01/b23c0859-d9ea-428f-b9e2-12d1aa18e564/ENCFF887HIO.bigBed	ENCODE4 v1.1.5 GRCh38	released			
ENCFF053FUK	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR011HZJ	WGBS	/human-donors/ENCDO451RUA/	UBERON:0000473	testis	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF385LYF/, /files/ENCFF792NJK/	642889589	ENCODE Processing Pipeline	1f8d0490e947f0c605cd42fdf6cef42a		https://www.encodeproject.org/files/ENCFF053FUK/@@download/ENCFF053FUK.bed.gz				released	s3://encode-public/2021/03/01/64c14f08-e489-4555-a77e-d24115be7b63/ENCFF053FUK.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF190YHH	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR267SNS	WGBS	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF701TBD/, /files/ENCFF792NJK/	2026738962	ENCODE Processing Pipeline	2d5217a46ed58018fc68d0c5b5fad511		https://www.encodeproject.org/files/ENCFF190YHH/@@download/ENCFF190YHH.bigWig				released	s3://encode-public/2021/03/01/9952999f-d328-4f36-8c4d-e5df7a13e2ff/ENCFF190YHH.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF186IPX	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR267SNS	WGBS	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF701TBD/, /files/ENCFF792NJK/	680122020	ENCODE Processing Pipeline	e4b7013edbfb560d7f6bffcf7af1b5dd		https://www.encodeproject.org/files/ENCFF186IPX/@@download/ENCFF186IPX.bed.gz				released	s3://encode-public/2021/03/01/383e1d4f-9451-4368-8f86-5f8c46d413bc/ENCFF186IPX.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF492TQN	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR267SNS	WGBS	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF186IPX/, /files/ENCFF792NJK/	1241968783	ENCODE Processing Pipeline	061f882758b1ea4acf3ff811e5c66f61		https://www.encodeproject.org/files/ENCFF492TQN/@@download/ENCFF492TQN.bigBed				released	s3://encode-public/2021/03/01/498ce6e7-5ecc-4189-9a0b-48473fcaaf73/ENCFF492TQN.bigBed	ENCODE4 v1.1.5 GRCh38	released			
ENCFF908QII	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR267SNS	WGBS	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF701TBD/, /files/ENCFF792NJK/	2014531060	ENCODE Processing Pipeline	c4b5130c3d3332ff6a59a7eb31ab8fbd		https://www.encodeproject.org/files/ENCFF908QII/@@download/ENCFF908QII.bigWig				released	s3://encode-public/2021/03/01/2122c6f0-ee9a-4922-ac7d-73ff0cc1f049/ENCFF908QII.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF420CSR	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR674VXR	WGBS	/human-donors/ENCDO271OUW/	UBERON:0008952	upper lobe of left lung	tissue	Homo sapiens											DNA						2018-01-09	ENCODE				1	1_1							/files/ENCFF701NVC/, /files/ENCFF792NJK/	2018822310	ENCODE Processing Pipeline	3ff045d26291401ef58154a98113a4e2		https://www.encodeproject.org/files/ENCFF420CSR/@@download/ENCFF420CSR.bigWig				released	s3://encode-public/2021/03/03/1562d979-73b3-481e-aa33-973a241e978d/ENCFF420CSR.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF785MPE	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR674VXR	WGBS	/human-donors/ENCDO271OUW/	UBERON:0008952	upper lobe of left lung	tissue	Homo sapiens											DNA						2018-01-09	ENCODE				1	1_1							/files/ENCFF701NVC/, /files/ENCFF792NJK/	2034243837	ENCODE Processing Pipeline	627ea00698334985b9d0e5e4509957c9		https://www.encodeproject.org/files/ENCFF785MPE/@@download/ENCFF785MPE.bigWig				released	s3://encode-public/2021/03/03/14d766e5-c192-4f28-b1a3-8a7866d403ec/ENCFF785MPE.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF532PDE	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR674VXR	WGBS	/human-donors/ENCDO271OUW/	UBERON:0008952	upper lobe of left lung	tissue	Homo sapiens											DNA						2018-01-09	ENCODE				1	1_1							/files/ENCFF701NVC/, /files/ENCFF792NJK/	680580124	ENCODE Processing Pipeline	a40321410860087c4e9ff29c14b2841c		https://www.encodeproject.org/files/ENCFF532PDE/@@download/ENCFF532PDE.bed.gz				released	s3://encode-public/2021/03/03/076739a9-289f-4387-bff2-983725a4faf3/ENCFF532PDE.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF973MNG	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR674VXR	WGBS	/human-donors/ENCDO271OUW/	UBERON:0008952	upper lobe of left lung	tissue	Homo sapiens											DNA						2018-01-09	ENCODE				1	1_1							/files/ENCFF532PDE/, /files/ENCFF792NJK/	1241587071	ENCODE Processing Pipeline	35ae8fb609c21a7461c87e8de12804ff		https://www.encodeproject.org/files/ENCFF973MNG/@@download/ENCFF973MNG.bigBed				released	s3://encode-public/2021/03/03/343aed50-c10a-45f1-8165-3aaa28fe2a76/ENCFF973MNG.bigBed	ENCODE4 v1.1.5 GRCh38	released			
ENCFF544SOH	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR806NNG	WGBS	/human-donors/ENCDO845WKR/	UBERON:0000473	testis	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF926RAG/	1282404029	ENCODE Processing Pipeline	d7b6ba7e13fa549b94826319fde6b7f7		https://www.encodeproject.org/files/ENCFF544SOH/@@download/ENCFF544SOH.bigBed				released	s3://encode-public/2021/03/01/a5271128-58d5-421b-8b88-765e4d9e478f/ENCFF544SOH.bigBed	ENCODE4 v1.1.5 GRCh38	released			
ENCFF096RXQ	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR806NNG	WGBS	/human-donors/ENCDO845WKR/	UBERON:0000473	testis	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF116LAE/	2173177643	ENCODE Processing Pipeline	b4598eb5f54d1a5f80a5caedce0198d3		https://www.encodeproject.org/files/ENCFF096RXQ/@@download/ENCFF096RXQ.bigWig				released	s3://encode-public/2021/03/01/7429e752-be80-4a2c-8ec7-94970b49644a/ENCFF096RXQ.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF926RAG	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR806NNG	WGBS	/human-donors/ENCDO845WKR/	UBERON:0000473	testis	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF116LAE/	718880721	ENCODE Processing Pipeline	301c21a68161f9c5c62a02d785853f05		https://www.encodeproject.org/files/ENCFF926RAG/@@download/ENCFF926RAG.bed.gz				released	s3://encode-public/2021/03/01/317dc1c6-26de-4143-9170-1912b0a011f4/ENCFF926RAG.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF605LXM	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR806NNG	WGBS	/human-donors/ENCDO845WKR/	UBERON:0000473	testis	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF116LAE/	2184575253	ENCODE Processing Pipeline	ecca6d9a241c7f9e79d85512ff65e1fd		https://www.encodeproject.org/files/ENCFF605LXM/@@download/ENCFF605LXM.bigWig				released	s3://encode-public/2021/03/01/0d0f7ff5-c8e7-4801-a32d-6ea9ade5fa35/ENCFF605LXM.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF872JOZ	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR752OCM	WGBS	/human-donors/ENCDO793LXB/	UBERON:0001323	tibial nerve	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF445KJW/, /files/ENCFF792NJK/	2173580908	ENCODE Processing Pipeline	ec1a41082eb068cdb669282e45db645c		https://www.encodeproject.org/files/ENCFF872JOZ/@@download/ENCFF872JOZ.bigWig				released	s3://encode-public/2021/03/01/e4afc9d7-e8c3-41e0-bb0f-6d48620170eb/ENCFF872JOZ.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF299QAX	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR752OCM	WGBS	/human-donors/ENCDO793LXB/	UBERON:0001323	tibial nerve	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF445KJW/, /files/ENCFF792NJK/	2162869104	ENCODE Processing Pipeline	886251a175dedfda41864bc25e176758		https://www.encodeproject.org/files/ENCFF299QAX/@@download/ENCFF299QAX.bigWig				released	s3://encode-public/2021/03/01/ebfa33f4-10ef-45e1-af18-a20795061f31/ENCFF299QAX.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF124RNJ	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR752OCM	WGBS	/human-donors/ENCDO793LXB/	UBERON:0001323	tibial nerve	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF445KJW/, /files/ENCFF792NJK/	721117535	ENCODE Processing Pipeline	cadafbd2de873205464106c5cacd8d25		https://www.encodeproject.org/files/ENCFF124RNJ/@@download/ENCFF124RNJ.bed.gz				released	s3://encode-public/2021/03/01/f7e32709-5c4d-4f75-b780-f0fa975fd2f3/ENCFF124RNJ.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF098WYA	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR752OCM	WGBS	/human-donors/ENCDO793LXB/	UBERON:0001323	tibial nerve	tissue	Homo sapiens											DNA						2018-01-18	ENCODE				1	1_1							/files/ENCFF124RNJ/, /files/ENCFF792NJK/	1278634681	ENCODE Processing Pipeline	86609b1d27f54310f569dc19a35ea4b2		https://www.encodeproject.org/files/ENCFF098WYA/@@download/ENCFF098WYA.bigBed				released	s3://encode-public/2021/03/01/5d090bb6-9abf-46e7-93a4-1d13c5c717cc/ENCFF098WYA.bigBed	ENCODE4 v1.1.5 GRCh38	released			
ENCFF120QGX	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR658MZU	WGBS	/human-donors/ENCDO451RUA/	UBERON:0001323	tibial nerve	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF188FBQ/	2064756820	ENCODE Processing Pipeline	cf57818eb55e7a1aa4dbe4f7de308afc		https://www.encodeproject.org/files/ENCFF120QGX/@@download/ENCFF120QGX.bigWig				released	s3://encode-public/2021/03/01/80791d81-b2c4-462c-958d-d5c1b81d8fc1/ENCFF120QGX.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF232ZZU	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR658MZU	WGBS	/human-donors/ENCDO451RUA/	UBERON:0001323	tibial nerve	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF402FIK/	1249127752	ENCODE Processing Pipeline	453dd511a970c745c4d2423229579fdd		https://www.encodeproject.org/files/ENCFF232ZZU/@@download/ENCFF232ZZU.bigBed				released	s3://encode-public/2021/03/01/e222f10d-4691-4e5e-ad64-82e559497771/ENCFF232ZZU.bigBed	ENCODE4 v1.1.5 GRCh38	released			
ENCFF402FIK	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR658MZU	WGBS	/human-donors/ENCDO451RUA/	UBERON:0001323	tibial nerve	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF188FBQ/	690877717	ENCODE Processing Pipeline	2c80d27a95c24f972a8b753866c94f52		https://www.encodeproject.org/files/ENCFF402FIK/@@download/ENCFF402FIK.bed.gz				released	s3://encode-public/2021/03/01/27abdf4f-e9c5-4410-923b-662ca2bfc0cf/ENCFF402FIK.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF468ODR	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR658MZU	WGBS	/human-donors/ENCDO451RUA/	UBERON:0001323	tibial nerve	tissue	Homo sapiens											DNA						2018-01-22	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF188FBQ/	2071326237	ENCODE Processing Pipeline	58636f0d1278c702aee77414decd9697		https://www.encodeproject.org/files/ENCFF468ODR/@@download/ENCFF468ODR.bigWig				released	s3://encode-public/2021/03/01/322e6f61-81cf-49cb-a52b-6902a2fd6898/ENCFF468ODR.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF893GDD	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR741FVM	WGBS	/human-donors/ENCDO793LXB/	UBERON:0002369	adrenal gland	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF844RQR/	1946375396	ENCODE Processing Pipeline	0c9bff49b2204a19b2705b3bc258fd66		https://www.encodeproject.org/files/ENCFF893GDD/@@download/ENCFF893GDD.bigWig				released	s3://encode-public/2021/03/09/caa8f24d-e242-4c95-ae99-269f12513646/ENCFF893GDD.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF942KJO	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR741FVM	WGBS	/human-donors/ENCDO793LXB/	UBERON:0002369	adrenal gland	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF844RQR/	644626815	ENCODE Processing Pipeline	ccab83b2f4f8b16d893bda79569cd45e		https://www.encodeproject.org/files/ENCFF942KJO/@@download/ENCFF942KJO.bed.gz				released	s3://encode-public/2021/03/09/44dc03bb-5b81-4267-9778-55403f9a0be8/ENCFF942KJO.bed.gz	ENCODE4 v1.1.5 GRCh38	released			
ENCFF210SEF	bigWig	bigWig		minus strand methylation state at CpG	GRCh38	ENCSR741FVM	WGBS	/human-donors/ENCDO793LXB/	UBERON:0002369	adrenal gland	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF844RQR/	1966652862	ENCODE Processing Pipeline	50ed173a46c09a739964cdb31796d7b8		https://www.encodeproject.org/files/ENCFF210SEF/@@download/ENCFF210SEF.bigWig				released	s3://encode-public/2021/03/09/264a8b5d-c107-439c-bfac-1a56a565d005/ENCFF210SEF.bigWig	ENCODE4 v1.1.5 GRCh38	released			
ENCFF033ENV	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR741FVM	WGBS	/human-donors/ENCDO793LXB/	UBERON:0002369	adrenal gland	tissue	Homo sapiens											DNA						2017-12-04	ENCODE				1	1_1							/files/ENCFF792NJK/, /files/ENCFF942KJO/	1195263821	ENCODE Processing Pipeline	1188ad5c34e05cedaf55d1b6390f8dc6		https://www.encodeproject.org/files/ENCFF033ENV/@@download/ENCFF033ENV.bigBed				released	s3://encode-public/2021/03/09/32f897b8-4e20-4fcd-b484-118172e729f1/ENCFF033ENV.bigBed	ENCODE4 v1.1.5 GRCh38	released			
ENCFF511YUE	bigWig	bigWig		plus strand methylation state at CpG	GRCh38	ENCSR839GNN	WGBS	/human-donors/ENCDO793LXB/	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens											DNA						2018-12-22	ENCODE				1	1_1							/files/ENCFF981JVN/, /files/ENCFF792NJK/	1557404958	ENCODE Processing Pipeline	05fa90336c76adb0b8afe27ea6a1d253		https://www.encodeproject.org/files/ENCFF511YUE/@@download/ENCFF511YUE.bigWig				released	s3://encode-public/2021/03/01/ce5f1ed2-7a1e-41e7-a813-6b995f93997a/ENCFF511YUE.bigWig	ENCODE4 v1.1.5 GRCh38	released	low coverage		
ENCFF473DZJ	bigBed bed9+	bigBed	bed9+	methylation state at CpG	GRCh38	ENCSR839GNN	WGBS	/human-donors/ENCDO793LXB/	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens											DNA						2018-12-22	ENCODE				1	1_1							/files/ENCFF550JZN/, /files/ENCFF792NJK/	995001717	ENCODE Processing Pipeline	1febcda9f668e2ee4fdf785c46ac8e8f		https://www.encodeproject.org/files/ENCFF473DZJ/@@download/ENCFF473DZJ.bigBed				released	s3://encode-public/2021/03/01/7cb8f0f1-0146-4883-afc6-16f88d3bdc58/ENCFF473DZJ.bigBed	ENCODE4 v1.1.5 GRCh38	released	low coverage		
ENCFF550JZN	bed bed9+	bed	bed9+	methylation state at CpG	GRCh38	ENCSR839GNN	WGBS	/human-donors/ENCDO793LXB/	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens											DNA						2018-12-22	ENCODE				1	1_1							/files/ENCFF981JVN/, /files/ENCFF792NJK/	477999612	ENCODE Processing Pipeline	95321395d21c9c92607a6b15e1ae132c		https://www.encodeproject.org/files/ENCFF550JZN/@@download/ENCFF550JZN.bed.gz				released	s3://encode-public/2021/03/01/273d03cd-5e71-45de-8bb3-7556c258a6de/ENCFF550JZN.bed.gz	ENCODE4 v1.1.5 GRCh38	released	low coverage		
